Name,Category,Calories,Protein,Fat,Carbs,Fiber,Sugar,AddedSugar,WholeGrains,SaturatedFat,MonounsaturatedFat,PolyunsaturatedFat,Cholesterol,VitaminD,VitaminB12,Iron,Zinc,Calcium,Omega3,Omega6,IsVegan
Cumberlandsås,Rätter,214,0.6,0.3,48.0,0.7,44.1,39,0,0.0,0.2,0.1,0.0,0.0,0.0,0.9,0.1,40,0.0,0.0,True
Apelsinsaft konc. berikad,Dryck,194,0.3,0.0,47.5,0.0,46.0,42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,True
Apelsinsaft drickf. berikad,Dryck,30,0.0,0.0,7.5,0.0,7.4,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,True
Saft lättsockrad konc.,Dryck,213,0.0,0.0,52.4,0.0,52.4,52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,8,0.0,0.0,True
Måltidsdryck drickf.,Dryck,36,0.0,0.0,8.8,0.0,6.6,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,True
Saft konc.,Dryck,213,0.0,0.0,52.4,0.0,52.4,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,8,0.0,0.0,True
Saft drickf.,Dryck,36,0.0,0.0,8.8,0.0,6.6,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,True
Svartvinbärssaft konc. berikad,Dryck,174,0.4,0.0,42.3,0.0,42.0,42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,8,0.0,0.0,True
Saft sötningsm. konc.,Dryck,93,0.5,0.0,22.5,0.0,3.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,10,0.0,0.0,True
Fruktdryck u. kolsyra,Dryck,48,0.0,0.0,11.9,0.0,10.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,True
Läsk,Dryck,36,0.0,0.0,8.8,0.0,9.6,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,True
Läsk cola,Dryck,43,0.0,0.0,10.5,0.0,10.5,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,True
Läsk light,Dryck,1,0.0,0.0,0.3,0.0,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,True
Läsk cola light,Dryck,0,0.0,0.0,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,True
Sportdryck drickf.,"Måltidsersättning, sportpreparat",29,0.0,0.0,7.2,0.0,6.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True
Saft sötningsm. drickf.,Dryck,9,0.0,0.0,2.2,0.0,0.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,True
Hallonsaft drickf.,Dryck,37,0.0,0.0,9.0,0.0,9.6,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4,0.0,0.0,True
Svartvinbärssaft drickf. berikad,Dryck,32,0.0,0.0,8.0,0.0,8.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,True
Lingondricka drickf. berikad,Dryck,28,0.0,0.0,7.0,0.0,7.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,True
Äppeldricka drickf. berikad,Dryck,32,0.0,0.0,7.9,0.0,8.0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,True
Saft sötningsm. drickf. berikad,Dryck,17,0.0,0.0,4.2,0.0,4.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,8,0.0,0.0,True
Glass isglass,Glass,95,0.1,0.0,23.2,0.0,22.6,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4,0.0,0.0,True
Glass sorbet,Glass,132,0.8,0.6,30.5,0.0,26.1,24,0,0.2,0.2,0.1,7.0,0.0,0.1,0.2,0.7,20,0.0,0.1,False
Glass isglass saftis,Glass,97,0.0,1.5,20.5,0.0,20.5,20,0,0.8,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.1,True
Chokladdryck m. vatten,Dryck,47,3.1,0.3,7.6,0.4,7.4,3,0,0.2,0.1,0.0,1.6,0.0,0.33,0.2,0.4,102,0.0,0.0,False
Chokladdryck drickf.,Dryck,68,3.5,1.5,9.8,0.5,9.7,4,0,1.0,0.4,0.0,12.0,0.0,0.1,0.4,0.4,110,0.0,0.0,False
Mjölkchoklad m. hackade hasselnötter,Godis,545,8.7,31.8,55.6,1.7,47.4,38,0,15.0,13.8,1.5,14.4,0.1,0.22,2.1,1.3,194,0.1,1.4,False
Mjölkchoklad fylld m. mandelkrokant,Godis,539,4.1,31.1,60.1,1.8,51.5,47,0,15.9,11.6,2.3,22.3,0.1,0.16,1.0,0.6,57,0.3,1.9,False
Mjölkchoklad m. mjuk kolafyllning,Godis,484,4.5,23.4,62.6,2.3,49.8,44,0,14.7,6.8,0.8,8.2,0.76,0.25,2.7,0.7,99,0.0,0.8,False
Kex m. mjölkchokladöverdrag,Godis,521,6.1,28.6,58.7,2.7,45.1,38,0,17.5,7.8,1.2,16.0,0.1,0.2,2.4,0.8,167,0.1,1.2,False
Kex m. kola mjölkchokladöverdrag,Godis,494,5.0,23.6,64.1,2.5,45.4,40,0,13.8,7.6,1.4,10.0,0.1,0.5,1.6,0.6,100,0.0,1.3,False
Mjuk nougat m. kolasås jordnötter mjölkchokladöverdrag,Godis,507,7.6,28.2,54.4,2.8,46.1,40,0,9.0,15.5,2.1,4.0,1.5,0.21,1.9,1.4,101,0.0,2.0,False
Mjuk chokladmaräng m. kola mjölkchokladöverdrag,Godis,442,4.2,15.3,70.7,1.5,63.3,55,0,7.2,6.3,0.8,10.0,0.1,0.24,1.7,0.6,118,0.0,0.8,False
Choklad chokladpraliner,Godis,547,7.4,33.7,53.7,0.6,50.8,46,0,18.5,11.9,1.3,7.0,0.0,0.0,2.1,1.3,290,0.2,1.1,False
Chokladpralin,Godis,540,6.6,33.5,53.3,0.4,53.0,49,0,15.2,15.1,1.5,0.0,0.0,0.0,1.6,1.1,97,0.1,1.5,True
Mjuk kokos m. mjölkchokladöverdrag,Godis,478,3.6,25.7,56.1,4.2,46.2,42,0,19.5,4.3,0.6,7.0,0.0,0.17,1.6,0.8,79,0.0,0.5,False
Nötkräm chokladkräm,Pålägg,542,5.5,32.5,55.4,4.0,49.6,46,0,8.1,16.4,6.6,2.2,0.43,0.31,3.5,1.1,110,0.3,6.3,False
Mjölkchoklad m. sötningsm.,Godis,577,10.0,39.0,46.9,0.4,11.3,0,0,22.9,12.6,1.4,0.0,0.0,0.0,2.2,0.2,134,0.0,1.2,False
Gelégodis,Godis,350,4.7,0.0,81.3,0.6,54.9,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,True
Karameller,Godis,395,0.0,0.0,97.2,0.0,78.0,78,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.1,89,0.0,0.0,True
Kola,Godis,456,4.1,18.0,68.9,0.0,47.6,48,0,12.0,4.6,0.5,10.0,0.08,0.3,0.8,0.3,64,0.1,0.4,False
Marmeladkonfekt,Godis,336,0.0,0.0,82.6,0.0,54.7,55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,9,0.0,0.0,True
Skumgodis,Godis,350,4.7,0.0,81.3,0.6,54.9,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,True
Polkagris,Godis,399,0.0,0.0,98.1,0.0,67.0,67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,7,0.0,0.0,True
Tuggummi,Godis,378,0.4,0.0,92.7,0.0,81.0,81,0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.1,1152,0.0,0.0,True
Klubba chokladkola karamell,Godis,436,2.5,11.1,80.6,0.0,60.7,56,0,7.4,2.8,0.3,10.0,0.05,0.1,0.2,0.1,10,0.0,0.2,False
Chokladkola mörk m. chokladöverdrag,Godis,470,4.3,18.2,71.7,0.0,42.9,38,0,8.5,7.8,1.0,6.6,0.0,0.25,3.4,0.9,72,0.0,0.9,False
Kex rån m. chokladfyllning,Godis,500,9.7,24.6,58.5,2.8,40.0,28,0,16.6,6.0,0.9,10.7,0.73,0.92,2.0,1.0,210,0.0,0.8,False
Fruktkola,Godis,394,0.7,0.0,96.3,0.0,57.1,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2,0.0,0.0,True
Skumboll m. chokladöverdrag kokos,"Bullar, kakor, tårtor",412,5.0,20.0,52.6,0.4,30.9,31,0,11.8,6.4,0.6,2.0,0.0,0.0,1.4,0.5,81,0.6,0.0,False
Skumboll m. chokladöverdrag,"Bullar, kakor, tårtor",396,5.0,15.0,59.6,0.4,39.0,35,0,8.6,4.1,1.4,2.0,0.0,0.0,1.4,0.5,81,0.2,1.2,False
Bar energibar m. choklad nötter,Godis,419,7.1,11.2,69.6,4.5,33.5,33,0,5.9,3.4,1.4,0.0,0.42,0.14,2.9,1.4,35,0.0,1.3,False
Karameller sockerfria,Godis,169,6.1,0.5,5.6,61.0,2.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.1,89,0.0,0.0,True
Tuggummi sockerfritt,Godis,153,0.6,0.0,86.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,2355,0.0,0.0,True
Kakaopulver fett 20-22%,Smaksättare,394,23.5,21.5,10.6,34.0,0.0,0,0,12.6,7.1,0.6,0.0,0.0,0.0,11.0,6.9,105,0.0,0.6,True
"Chokladdryckspulver m. socker fett 2,5%",Smaksättare,402,5.1,2.9,87.7,0.0,81.4,81,0,1.5,0.8,0.1,0.0,0.0,0.0,1.4,1.4,32,0.0,0.1,True
Chokladboll hemlagad,"Bullar, kakor, tårtor",450,3.5,24.5,52.4,3.5,36.7,36,24,12.5,7.5,3.7,13.3,3.43,0.0,1.3,0.9,15,0.7,2.6,False
Måltidsersättning pulver chokladsmak berikad,"Måltidsersättning, sportpreparat",376,35.0,9.0,32.6,11.6,30.7,29,0,2.3,1.9,4.4,2.0,3.8,1.63,16.6,10.0,349,0.4,4.0,False
Socker,Smaksättare,405,0.0,0.0,99.6,0.0,100.0,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,True
Brun farin,Smaksättare,388,0.0,0.0,95.5,0.0,94.0,94,0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,185,0.0,0.0,True
Ljus sirap,Smaksättare,323,0.0,0.0,79.6,0.0,80.0,80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,10,0.0,0.0,True
Honung,Smaksättare,332,0.3,0.0,81.5,0.0,74.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,5,0.0,0.0,False
Druvsocker,Smaksättare,370,0.0,0.0,91.1,0.0,91.1,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True
Fruktsocker,Smaksättare,373,0.0,0.0,91.7,0.0,91.7,92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True
Sorbitol m. sackarin,Smaksättare,235,0.0,0.0,98.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True
"Svagdricka vol. % 2,3",Dryck,29,0.2,0.0,3.8,0.0,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,True
"Öl lättöl vol. % 2,3",Dryck,29,0.2,0.0,3.8,0.0,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,True
"Öl pilsner folköl vol. % 3,5",Dryck,40,0.4,0.0,4.6,0.0,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,True
Cider vol. % 1,Dryck,47,0.0,0.0,10.1,0.0,10.1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,9,0.0,0.0,True
Vin vitt vol. % 1,Dryck,17,0.0,0.0,2.8,0.0,2.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,44,0.0,0.0,True
Vin rött el. rosé vol. % 1,Dryck,17,0.0,0.0,2.8,0.0,2.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,7,0.0,0.0,True
